,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
MWET4,PN,WETZEL SA PN,Material de Transporte,Material Rodoviário,384,26/06/2020,240,750,52671,7902720,80501700,31/03/2020,2058000,13.27%,17.79%,14.63%,-4.48%,-38.06%,109.46%,10.86%,75.66%,15.15%,164.00%,,-020,-004,-067,005,005,-006,-002,0.0%,-1110,-686,8.4%,-1890,-10460,9.6%,-6.7%,-22.4%,-6.7%,-8.2%,18.1%,025,-035,100,174879000,3562000,41707000,76161000,72599000,-215261000,174063000,-11737000,-38903000,40026000,-1915000,-6932000,,,,,,
RNEW3,ON N2,RENOVA ON N2,Energia Elétrica,Energia Elétrica,380,26/06/2020,225,778,158268,158536000,1714780000,31/12/2019,41720000,19.87%,54.47%,56.38%,-50.00%,-26.07%,-30.73%,-68.56%,-78.19%,-17.15%,5.15%,,-016,-015,-140,161,007,-005,-005,0.0%,-1771,-1518,-21.9%,-2431,-2614,32.4%,-115.1%,-1032.8%,-4.8%,-5.7%,93.0%,001,-143,004,2329920000,6059000,21188000,1562300000,1556240000,-1090550000,98190000,-112999000,-1014060000,11132000,-4690000,-239229000,,,,,,
TEKA3,ON,TEKA SA ON,Tecidos. Vestuário e Calçados,Fios e Tecidos,3909,26/06/2020,651,5200,69465,19662300,488363000,31/12/2019,503000,-15.04%,452.12%,458.43%,293.66%,388.63%,-8.78%,-26.24%,96.53%,-53.46%,-71.74%,,-015,-001,-160,013,002,-001,-001,0.0%,-6837,-3971,0.4%,-25652,-310940,14.9%,-8.3%,-86.8%,-1.3%,-2.0%,8.2%,003,-030,015,979499000,575000,62254000,469276000,468701000,-1564030000,148725000,-12297000,-129030000,46008000,-1245000,-20186000,,,,,,
RNEW11,UNT N2,RENOVA UNT N2,Energia Elétrica,Energia Elétrica,1030,26/06/2020,554,2210,242088,143239000,1699480000,31/12/2019,41720000,24.10%,67.48%,66.67%,-51.73%,-14.52%,-44.44%,-64.21%,1.00%,-75.85%,-30.31%,,-014,-013,-127,146,006,-005,-004,0.0%,-1755,-1504,-21.9%,-7292,-7842,32.4%,-115.1%,-1032.8%,-4.8%,-5.7%,93.0%,001,-143,004,2329920000,6059000,21188000,1562300000,1556240000,-1090550000,98190000,-112999000,-1014060000,11132000,-4690000,-239229000,,,,,,
INEP3,ON,INEPAR S/A ON,Máquinas e Equipamentos,Máqs e Equips Industriais,711,26/06/2020,502,1088,21108,56924700,695645000,30/09/2019,8006280,-7.06%,18.90%,14.86%,-13.82%,-8.73%,40.36%,91.38%,-25.83%,-21.80%,25.00%,,-013,-003,-019,215,004,-003,-002,0.0%,-252,-237,-51.5%,-5359,-21282,31.1%,-1107.2%,-1399.6%,-20.5%,-22.2%,25.2%,014,-038,002,1429640000,1135000,280702000,639855000,638720000,-1703920000,26505000,-293465000,-429017000,1202000,-58858000,-69562000,,,,,,
RNEW4,PN N2,RENOVA PN N2,Energia Elétrica,Energia Elétrica,310,26/06/2020,170,733,192250,129332000,1685570000,31/12/2019,41720000,26.02%,68.48%,65.78%,-56.76%,-15.30%,-47.64%,-61.80%,815.00%,0.00%,0.00%,,-013,-012,-114,132,006,-004,-004,0.0%,-1741,-1492,-21.9%,-2431,-2614,32.4%,-115.1%,-1032.8%,-4.8%,-5.7%,93.0%,001,-143,004,2329920000,6059000,21188000,1562300000,1556240000,-1090550000,98190000,-112999000,-1014060000,11132000,-4690000,-239229000,,,,,,
BDLL4,PN,BAEDELLA PN,Máquinas e Equipamentos,Máqs e Equips Industriais,830,26/06/2020,600,2200,23814,13280000,241828000,30/09/2019,1600000,-4.05%,18.57%,27.50%,-27.83%,2.85%,-53.89%,-41.22%,-18.44%,-1.38%,-24.14%,,-013,105,-026,025,002,-008,-002,0.0%,-571,-477,-43.3%,-6541,787,-31.0%,-93.6%,-193.3%,-6.0%,-6.8%,-831.3%,062,1816,006,837950000,18000,275437000,228566000,228548000,12589000,54128000,-50668000,-104656000,7565000,-14159000,-36091000,,,,,,
INEP4,PN,INEPAR S/A PN,Máquinas e Equipamentos,Máqs e Equips Industriais,669,26/06/2020,465,1110,51184,53562000,692282000,30/09/2019,8006280,3.40%,17.37%,18.20%,-26.32%,-14.99%,52.82%,80.70%,-4.36%,-17.22%,5.88%,,-012,-003,-018,202,004,-003,-002,0.0%,-251,-236,-51.5%,-5359,-21282,31.1%,-1107.2%,-1399.6%,-20.5%,-22.2%,25.2%,014,-038,002,1429640000,1135000,280702000,639855000,638720000,-1703920000,26505000,-293465000,-429017000,1202000,-58858000,-69562000,,,,,,
SNSY5,PNA,SANSUY SA INDÚSTRIA DE PLÁSTICOS PNA,,,11110,26/06/2020,6301,12500,12938,21442300,111642000,31/03/2020,193000,5.81%,38.88%,40.83%,72.25%,3.54%,128.35%,84.27%,6.25%,4.35%,-63.49%,,-012,-002,-027,005,006,-012,-001,0.0%,-186,-143,5.4%,-92537,-657935,11.0%,-17.0%,-40.1%,-20.9%,-24.7%,14.1%,052,-008,122,375483000,6119000,188772000,96319000,90200000,-1269810000,459270000,-78293000,-178596000,110126000,-18968000,-44901000,,,,,,
SLED4,PN,EDITORA SARAIVA PN,Mídia,Jornais. Livros e Revistas,092,26/06/2020,067,240,880866,35830300,429011000,31/03/2020,38946000,-1.08%,33.33%,35.29%,-36.99%,-57.01%,1.42%,-46.31%,18.37%,-25.06%,-15.62%,,-012,-018,-030,006,005,-130,-005,0.0%,-1065,-357,-22.1%,-783,-522,33.4%,-20.0%,-50.7%,-16.5%,-19.5%,150.0%,088,-202,083,727042000,16797000,202033000,409978000,393181000,-203296000,601578000,-120048000,-304943000,136682000,-17186000,-50732000,,,,,,
MMXM3,ON NM,MMX MINER ON NM,Mineração,Minerais Metálicos,187,26/06/2020,137,284,55646,12132600,197709000,31/12/2019,6488000,-8.33%,14.02%,17.61%,-8.78%,-26.67%,18.60%,-27.36%,-46.67%,-3.48%,-66.67%,,-010,-002,-012,970,010,-,-,0.0%,-192,-192,27.7%,-1856,-11283,-21.1%,-8226.8%,-9647.9%,-83.9%,-,16.5%,-,-,001,122734000,1180000,27913000,186756000,185576000,-732065000,1251000,-102917000,-120425000,0,-26931000,-12746000,,,,,,
TEKA4,PN,TEKA SA PN,Tecidos. Vestuário e Calçados,Fios e Tecidos,1325,26/06/2020,449,2300,360505,6664750,475366000,31/12/2019,503000,-9.00%,128.45%,112.34%,78.33%,98.35%,-16.50%,13.48%,-6.00%,-37.50%,-53.85%,,-005,-000,-054,004,001,-000,-000,0.0%,-6655,-3866,0.4%,-25652,-310940,14.9%,-8.3%,-86.8%,-1.3%,-2.0%,8.2%,003,-030,015,979499000,575000,62254000,469276000,468701000,-1564030000,148725000,-12297000,-129030000,46008000,-1245000,-20186000,,,,,,
PDGR3,ON NM,PDG REALT ON NM,Construção e Engenharia,Construção Civil,485,26/06/2020,278,880,414687,39125000,1625160000,31/03/2020,8067000,-4.53%,41.40%,41.40%,-29.71%,-34.37%,-33.42%,-51.10%,90.76%,-26.99%,-95.53%,,-005,-001,-057,018,002,-002,-001,0.0%,-2493,-2375,-28.6%,-10348,-62461,14.3%,-31.4%,-385.9%,-3.7%,-4.2%,16.6%,038,-034,012,1861290000,108267000,1439710000,1694300000,1586030000,-5038720000,218005000,-68440000,-834807000,46898000,-4649000,-175016000,,,,,,
OSXB3,ON NM,OSX BRASIL ON NM,Petróleo. Gás e Biocombustíveis,Máquinas e Equipamentos,435,26/06/2020,230,610,42303,13693800,4378670000,31/03/2020,3148000,-8.03%,38.10%,31.82%,11.54%,33.03%,-5.22%,-54.96%,-48.93%,0.00%,-40.00%,,-002,-000,-096,131,001,-002,-000,0.0%,-62481,-30672,-61.1%,-18033,-149165,100.0%,-136.6%,-5570.7%,-0.7%,-0.8%,12.1%,003,-093,001,2008770000,1098000,14637000,4366080000,4364980000,-4695710000,10448000,-14276000,-567680000,2632000,-3231000,-245000,,,,,,
BBSE3,ON NM,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,2785,26/06/2020,2240,3533,141018000,55700000000,-,31/03/2020,2000000000,-3.97%,10.17%,10.60%,-3.84%,-19.27%,43.62%,8.47%,6.84%,20.42%,-15.61%,,000,000,-,-,-,-,-,14.9%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
BMGB4,PN N1,BANCO BMG PN N1,Financeiros,Bancos,508,26/06/2020,340,1030,5950800,3004690000,-,31/03/2020,591475000,-4.87%,9.25%,17.05%,-38.13%,-48.11%,19.24%,0.00%,0.00%,0.00%,0.00%,,000,076,-,-,-,-,-,4.2%,-,-,-,000,671,-,-,-,0.0%,-,-,-,-,-,21970000000,,,,,3967790000,,,0,,,75625000,10050300000,12918600000,0,0,421700000,13984000
CSAB3,ON,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA ON,Previdência e Seguros,Seguradoras,4501,19/06/2020,3921,4683,1042,345677000,-,31/03/2020,7680000,0.00%,12.53%,12.53%,-3.50%,-3.69%,16.48%,-18.35%,43.01%,-9.00%,96.39%,,000,000,-,-,-,-,-,6.9%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CSAB4,PN,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA PN,Previdência e Seguros,Seguradoras,4800,05/06/2020,3486,4800,112,368640000,-,31/03/2020,7680000,0.00%,0.00%,0.00%,22.03%,20.57%,5.76%,-19.16%,33.21%,31.90%,58.22%,,000,000,-,-,-,-,-,7.1%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IRBR3,ON NM,IRBBRASIL RE ON NM,Previdência e Seguros,Seguradoras,1186,26/06/2020,670,4490,481306000,11101000000,-,31/12/2019,936000000,5.42%,42.89%,60.49%,-64.24%,-69.55%,44.31%,157.05%,17.71%,0.00%,0.00%,,000,000,-,-,-,-,-,1.8%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
NTCO3,ON NM,GRUPO NATURA ON NM,Prods de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,3990,26/06/2020,2125,5089,300039000,47433400000,62200200000,31/03/2020,1188810000,-4.68%,7.32%,10.59%,8.54%,3.18%,5.20%,0.00%,0.00%,0.00%,0.00%,,000,234,-,-,085,2038,-217,0.0%,-,-,-,000,1705,-,-,-,0.0%,-,-,120,095,-,56058700000,4566300000,13860700000,19333100000,14766800000,20266100000,0,0,0,7517990000,73990900,-820797000,,,,,,
TAEE11,UNT,TAESA UNT,Energia Elétrica,Energia Elétrica,2807,26/06/2020,2379,3122,78009200,9670080000,15361200000,31/03/2020,1033500000,-0.81%,-1.65%,-0.14%,12.64%,-7.12%,40.90%,25.45%,10.94%,40.71%,0.62%,,000,182,-,-,078,-,-,8.3%,-,-,-1.1%,000,1540,-,-,-,0.0%,-,-,-,-,-,12352000000,209548000,3228150000,5900630000,5691090000,5304290000,0,0,0,690417000,434447000,364187000,,,,,,
TAEE3,ON N2,TAESA ON N2,Energia Elétrica,Energia Elétrica,939,26/06/2020,802,1039,435950,9704530000,15395600000,31/03/2020,1033500000,-0.53%,-1.68%,0.21%,3.25%,-5.79%,29.15%,33.56%,-6.44%,0.00%,0.00%,,000,183,-,-,079,-,-,8.3%,-,-,-1.1%,000,513,-,-,-,0.0%,-,-,-,-,-,12352000000,209548000,3228150000,5900630000,5691090000,5304290000,0,0,0,690417000,434447000,364187000,,,,,,
TAEE4,PN N2,TAESA PN N2,Energia Elétrica,Energia Elétrica,944,26/06/2020,781,1042,776772,9756210000,15447300000,31/03/2020,1033500000,-0.32%,-1.26%,0.00%,19.49%,-7.26%,47.47%,26.92%,-40.64%,0.00%,0.00%,,000,184,-,-,079,-,-,8.2%,-,-,-1.1%,000,513,-,-,-,0.0%,-,-,-,-,-,12352000000,209548000,3228150000,5900630000,5691090000,5304290000,0,0,0,690417000,434447000,364187000,,,,,,
VIVA3,ON NM,VIVARA SA ON NM,Tecidos. Vestuário e Calçados,Acessórios,2019,26/06/2020,1072,3271,38404300,4768840000,4594960000,31/03/2020,236198000,-3.86%,5.27%,9.19%,-15.85%,-30.67%,21.37%,0.00%,0.00%,0.00%,0.00%,,000,430,-,-,261,590,970,0.8%,-,-,-,000,469,-,-,-,0.0%,-,-,300,027,-,1829190000,472789000,1212330000,298913000,-173876000,1108740000,0,0,0,206231000,14182700,19011100,,,,,,
FHER3,ON NM,Fer Heringer ON NM,Químicos,Fertilizantes e Defensivos,297,26/06/2020,165,468,682929,159955000,278647000,31/03/2020,53857000,0.68%,20.73%,28.02%,56.32%,-17.73%,-19.78%,76.47%,24.39%,51.85%,-73.99%,,030,-092,-198,011,010,086,-016,0.0%,-542,-344,-29.7%,1002,-322,9.3%,-5.7%,37.7%,-5.2%,-6.5%,-310.9%,135,-082,092,1551900000,24252000,715772000,142944000,118692000,-173608000,1433020000,-80983000,539781000,387070000,-3154000,-204993000,,,,,,
NUTR3,ON,NUTRIPLANT ON,Químicos,Fertilizantes e Defensivos,9100,26/06/2020,2650,10400,43803,11648000,19794000,31/03/2020,128000,5.81%,40.00%,42.17%,175.76%,102.22%,50.00%,-25.00%,128.57%,-50.00%,-85.42%,,032,085,-1974,017,019,095,-073,0.0%,-21752,-3355,21.7%,28634,10648,17.6%,-0.9%,53.4%,-1.0%,-1.2%,268.9%,168,064,115,59811000,543000,30155000,8689000,8146000,13630000,68633000,-590000,36652000,15278000,500000,798000,,,,,,
MTIG4,PN,IGUAÇU PN,Embalagens,Embalagens,4000,22/06/2020,4000,10020,7316,9640000,72181000,31/03/2020,241000,0.00%,-1.09%,-1.09%,-55.70%,-45.21%,-21.08%,349.25%,-40.87%,35.70%,-78.50%,,068,027,2022,007,007,-029,-019,0.0%,1445,15138,2.6%,5867,14803,16.2%,0.3%,10.2%,0.4%,0.4%,39.6%,056,177,107,129796000,727402,43003200,63268400,62541000,35674900,138868000,476818,14140500,35791100,126641,-2596830,,,,,,
HETA4,PN,HERCULES S/A PN,Utilidades Domésticas,Utensílios Domésticos,925,26/06/2020,322,1489,82169,4717500,329299000,31/12/2019,510000,3.93%,97.23%,106.47%,71.61%,2.55%,32.26%,-21.79%,108.61%,-49.02%,-11.83%,,137,-001,638,429,048,-012,-001,0.0%,44560,44560,-14.2%,674,-75093,100.0%,67.2%,312.6%,7.5%,7.6%,-0.9%,001,-085,011,9873000,1000,463000,324582000,324581000,-382972000,1099000,739000,3436000,310000,261000,88000,,,,,,
TXRX4,PN,RENAUX PN,Tecidos. Vestuário e Calçados,Fios e Tecidos,1150,26/06/2020,221,2100,822726,48978500,254542000,31/12/2019,4259000,-10.85%,167.44%,161.96%,422.73%,220.33%,103.98%,-23.81%,3.13%,31.76%,-10.53%,,229,-017,600,047,027,-019,-012,0.0%,1946,3119,5.9%,503,-6841,31.6%,7.8%,20.4%,4.4%,6.7%,-7.3%,018,-071,057,184355000,403000,58918000,205966000,205563000,-291372000,105061000,8161000,21408000,-36160000,2850000,25579000,,,,,,
BAZA3,ON,BANCO DA AMAZONIA SA ON,Financeiros,Bancos,3400,26/06/2020,2211,3982,101314,1007960000,-,31/03/2020,29646000,0.00%,7.19%,9.68%,44.23%,-7.15%,75.52%,-2.48%,-9.42%,33.82%,0.00%,,318,046,-,-,-,-,-,10.5%,-,-,-7.9%,1070,7440,-,-,0.0%,0.0%,-,14.4%,-,-,-,20529100000,,,,,2205750000,,,317178000,,,33100000,3119100000,4390250000,566218000,861684000,90343000,223363000
CTKA4,PN,KARSTEN PN,Tecidos. Vestuário e Calçados,Fios e Tecidos,1142,26/06/2020,410,1810,90525,70861100,564278000,31/03/2020,6205000,-9.72%,-10.08%,28.31%,221.69%,-11.47%,279.41%,21.86%,58.52%,-48.24%,-5.56%,,329,-027,194,020,018,064,-017,0.0%,1144,1547,4.7%,347,-4169,38.9%,10.4%,6.2%,9.4%,11.3%,-8.3%,186,-204,090,389629000,34132000,237338000,527549000,493417000,-258706000,349588000,36479000,21547000,79729000,15096000,13892000,,,,,,
CEAB3,ON NM,CEA MODAS ON NM,Comércio,Tecidos. Vestuário e Calçados,982,26/06/2020,530,1912,33724500,3026970000,4447900000,31/03/2020,308245000,-1.90%,3.70%,18.03%,-41.57%,-44.60%,5.47%,0.00%,0.00%,0.00%,0.00%,,330,112,886,048,052,516,-295,0.0%,458,1302,-,297,879,48.6%,5.5%,14.6%,5.9%,7.0%,33.8%,140,063,108,5798360000,279963000,2062200000,1700900000,1420940000,2710610000,6260980000,341509000,915877000,976850000,-45547000,-55365000,,,,,,
SMLS3,ON NM,SMILES ON NM,Diversos,Programas de Fidelização,1455,26/06/2020,902,4176,42989400,1806510000,648176000,31/03/2020,124159000,-4.72%,20.45%,17.15%,-64.30%,-62.73%,-3.73%,-39.35%,-16.59%,0.00%,0.00%,,334,143,287,184,060,191,340,1.9%,099,103,-8.2%,436,1016,91.8%,64.0%,55.1%,20.7%,35.5%,42.9%,170,-,032,3035440000,1158340000,2305010000,0,-1158340000,1261970000,981888000,628551000,541063000,171331000,75018000,56252000,,,,,,
RSUL4,PN,METALURGICA RIOSULENSE S/A PN,Material de Transporte,Material Rodoviário,11500,26/06/2020,7575,14201,1798,67045000,69122000,31/03/2020,583000,1.76%,11.65%,11.65%,49.16%,-10.51%,107.26%,82.35%,0.00%,0.00%,-16.80%,,363,2560,271,040,034,-126,-051,0.0%,230,279,12.9%,3169,449,33.7%,14.7%,11.0%,12.5%,13.3%,705.5%,055,123,085,198736000,1149000,65182000,3226000,2077000,2619000,168559000,24772000,18476000,40458000,5705000,4887000,,,,,,
LIGT3,ON,LIGHT SA ON,Energia Elétrica,Energia Elétrica,1600,26/06/2020,730,2451,53011500,4862940000,12749100000,31/03/2020,303934000,0.25%,14.94%,15.61%,-17.65%,-32.66%,45.32%,-0.30%,-3.87%,76.24%,-38.62%,,366,072,385,037,020,352,-042,0.0%,688,1010,7.9%,438,2209,25.0%,9.6%,10.2%,5.1%,6.1%,19.8%,128,140,053,24646700000,1534250000,6347550000,9420360000,7886110000,6714840000,13100100000,1262230000,1330270000,3049010000,316453000,166692000,,,,,,
BNBR3,ON,BANCO DO NORDESTE ON,Financeiros,Bancos,7807,26/06/2020,4363,10581,38309,6742980000,-,31/03/2020,86371000,-7.05%,0.85%,-2.17%,65.11%,-15.33%,164.45%,6.65%,55.57%,-4.88%,37.44%,,379,120,-,-,-,-,-,6.2%,-,-,17.5%,2058,6503,-,-,0.0%,0.0%,-,31.7%,-,-,-,59121500000,,,,,5617050000,,,1777900000,,,327653000,9260440000,12279800000,2495770000,2771610000,435622000,660290000
CGRA4,PN,GRAZZIOTIN PN,Comércio,Tecidos. Vestuário e Calçados,2553,26/06/2020,2000,3378,202168,513178000,442656000,31/12/2019,20101000,-0.85%,-1.77%,2.12%,8.73%,-11.92%,30.20%,-10.61%,72.66%,94.28%,-43.38%,,396,088,1206,107,059,268,558,6.9%,679,1040,6.2%,644,2915,53.4%,8.9%,26.9%,4.9%,5.9%,22.1%,207,-,056,864568000,70522000,370490000,0,-70522000,586027000,480470000,42565100,129450000,147345000,21233300,96720600,,,,,,
CGRA3,ON,GRAZZIOTIN ON,Comércio,Tecidos. Vestuário e Calçados,2555,26/06/2020,1906,3029,46383,513580000,443058000,31/12/2019,20101000,-0.20%,4.12%,8.72%,12.74%,-12.55%,37.59%,-9.56%,59.54%,75.67%,-38.10%,,397,088,1207,107,059,269,559,6.9%,680,1041,6.2%,644,2915,53.4%,8.9%,26.9%,4.9%,5.9%,22.1%,207,-,056,864568000,70522000,370490000,0,-70522000,586027000,480470000,42565100,129450000,147345000,21233300,96720600,,,,,,
CTKA3,ON,KARSTEN ON,Tecidos. Vestuário e Calçados,Fios e Tecidos,1422,26/06/2020,493,2000,43172,88235100,581652000,31/03/2020,6205000,-13.82%,5.33%,48.90%,245.15%,31.67%,120.86%,2.95%,-52.50%,1.01%,-32.19%,,410,-034,242,025,023,080,-021,0.0%,1179,1594,4.7%,347,-4169,38.9%,10.4%,6.2%,9.4%,11.3%,-8.3%,186,-204,090,389629000,34132000,237338000,527549000,493417000,-258706000,349588000,36479000,21547000,79729000,15096000,13892000,,,,,,
BSLI4,ON,BRB ON,Financeiros,Bancos,5511,19/06/2020,3448,5511,256,2000770000,-,31/03/2020,36305000,0.00%,0.00%,0.00%,47.94%,27.07%,42.71%,38.55%,54.72%,10.34%,-17.64%,,434,114,-,-,-,-,-,10.4%,-,-,13.0%,1269,4847,-,-,0.0%,0.0%,-,26.2%,-,-,-,17554500000,,,,,1759810000,,,460828000,,,107574000,9634340000,12169700000,1686440000,198295000,404585000,54317000
BRSR6,PNB,BANRISUL S/A PNB,Financeiros,Bancos,1367,26/06/2020,1069,2434,38561800,5590670000,-,31/03/2020,408974000,-2.84%,10.33%,11.76%,-38.66%,-35.26%,2.32%,65.96%,50.35%,87.61%,-55.56%,,436,069,-,-,-,-,-,7.0%,-,-,9.7%,313,1973,-,-,0.0%,0.0%,-,15.9%,-,-,-,82939700000,,,,,8067010000,,,1281980000,,,257522000,30641400000,53966100000,4189330000,1258630000,957346000,318283000
PATI3,ON,PANATLANTICA ON,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,2570,26/06/2020,1502,2890,69773,469539000,511443000,31/03/2020,18270000,-1.12%,41.99%,46.86%,31.79%,12.23%,66.67%,31.86%,7.09%,-4.23%,-28.10%,,460,091,1034,044,042,086,180,0.0%,927,1126,16.6%,559,2830,12.3%,4.3%,9.6%,4.0%,7.0%,19.8%,264,068,094,1131040000,309123000,874265000,351027000,41904000,517126000,1067080000,45432000,102147000,283683000,16761000,90761000,,,,,,
BTTL3,ON,APABA ON,Holdings Diversificadas,Holdings Diversificadas,618,26/06/2020,356,1125,14852,91841000,126444000,31/03/2020,14861000,-0.32%,31.77%,37.03%,76.57%,0.98%,91.85%,-13.78%,-64.11%,-29.43%,31.15%,,474,936,625,048,067,-2234,-123,0.0%,861,861,-2.6%,130,066,17.6%,7.6%,10.1%,10.8%,12.6%,197.7%,093,427,141,136310000,7228000,51690000,41831000,34603000,9807000,192181000,14690000,19386000,80347000,2994000,-280000,,,,,,
BGIP4,PN,BANESE PN,Financeiros,Bancos,2537,26/06/2020,2026,3837,77652,387780000,-,31/03/2020,15285000,1.04%,12.41%,9.45%,-30.10%,-33.17%,10.41%,2.65%,183.79%,30.82%,-50.03%,,477,086,-,-,-,-,-,5.4%,-,-,8.6%,531,2947,-,-,0.0%,0.0%,-,18.0%,-,-,-,5848290000,,,,,450512000,,,81234000,,,16655000,2453360000,4793280000,402231000,136670000,103763000,33860000
ELET3,ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,3028,26/06/2020,1524,4683,153420000,47507200000,83659200000,31/03/2020,1568930000,-0.95%,5.76%,11.16%,-10.65%,-19.89%,59.97%,25.29%,-15.20%,295.73%,1.81%,,495,067,654,168,027,262,-074,0.0%,918,1152,-11.2%,612,4529,74.4%,25.7%,34.4%,4.1%,4.5%,13.5%,174,073,016,178688000000,15573900000,42733700000,51725900000,36152000000,71049700000,28229400000,7262810000,9599570000,6955640000,2144150000,300157000,,,,,,
PATI4,PN,PANATLANTICA PN,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,2780,26/06/2020,2206,3178,2981,507906000,549810000,31/03/2020,18270000,-0.71%,2.96%,2.96%,-6.77%,11.20%,-2.80%,52.28%,23.92%,59.23%,-31.57%,,497,098,1118,048,045,093,195,0.0%,996,1210,16.6%,559,2830,12.3%,4.3%,9.6%,4.0%,7.0%,19.8%,264,068,094,1131040000,309123000,874265000,351027000,41904000,517126000,1067080000,45432000,102147000,283683000,16761000,90761000,,,,,,
ELET6,PNB,ELETROBRÁS PNB,Energia Elétrica,Energia Elétrica,3141,26/06/2020,1848,4727,94841300,49280100000,85432100000,31/03/2020,1568930000,-1.69%,2.31%,5.09%,-10.03%,-17.86%,41.32%,24.07%,-6.44%,147.98%,32.96%,,513,069,679,175,028,272,-076,0.0%,938,1176,-11.2%,612,4529,74.4%,25.7%,34.4%,4.1%,4.5%,13.5%,174,073,016,178688000000,15573900000,42733700000,51725900000,36152000000,71049700000,28229400000,7262810000,9599570000,6955640000,2144150000,300157000,,,,,,
BMEB4,PN,BANCO MERCANTIL DO BRASIL S/A PN,Financeiros,Bancos,1381,26/06/2020,851,1582,135624,723865000,-,31/03/2020,52416000,0.58%,19.05%,25.43%,66.91%,10.76%,97.56%,54.72%,25.82%,12.71%,22.54%,,516,077,-,-,-,-,-,5.0%,-,-,4.9%,268,1782,-,-,0.0%,0.0%,-,15.0%,-,-,-,9972120000,,,,,934279000,,,140284000,,,46932000,4207340000,6625480000,1338190000,248968000,317913000,67656000
EALT4,PN,ELECTRO AÇO ALTONA S/A PN,Máquinas e Equipamentos,Máqs e Equips Construção e Agrícolas,388,26/06/2020,301,736,335012,87300000,166035000,31/12/2019,22500000,-4.90%,6.89%,15.30%,-7.76%,-38.04%,57.45%,36.39%,221.05%,-17.39%,-17.86%,,518,054,310,029,024,838,-114,1.6%,433,590,24.2%,075,723,21.6%,9.4%,5.6%,7.6%,8.1%,10.4%,109,054,081,368478000,8913000,128976000,87648000,78735000,162778000,299194000,28153000,16851000,66895000,3170000,1709000,,,,,,
BBAS3,ON,BANCO DO BRASIL SA ON,Financeiros,Bancos,3182,26/06/2020,2213,5335,734571000,91177600000,-,31/03/2020,2865420000,-3.60%,3.18%,3.35%,-38.70%,-39.03%,18.75%,51.40%,16.36%,98.35%,-29.00%,,531,089,-,-,-,-,-,5.8%,-,-,-0.0%,599,3567,-,-,0.0%,0.0%,-,16.8%,-,-,-,1663540000000,,,,,102220000000,,,17171100000,,,3189280000,549321000000,514799000000,19630700000,19977100000,-97774000,4799850000
