,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
BPAN4,PN,BANCO PAN PN,Financeiros,Bancos,880,30/06/2020,416,1188,48306600,10604500000,-,31/03/2020,1205060000,"-4,35%","57,14%","57,14%","-0,05%","-15,79%","449,22%","7,22%","46,35%","-20,65%","-29,22%",,1796,211,-,-,-,-,-,"1,9%",-,-,"11,8%",049,417,-,-,"0,0%","0,0%",-,"11,8%",-,-,-,33738500000,,,,,5021900000,,,590386000,,,170558000,23132400000,20902200000,4441420000,403690000,1065250000,103842000
BALM3,ON,BAUMER ON,Máquinas e Equipamentos,Máqs e Equips Hospitalares,1350,22/06/2020,1150,1350,4359,132300000,150100000,31/03/2020,9800000,"0,00%","0,00%","0,00%","24,31%","17,39%","5,89%","33,91%","56,56%","0,00%","0,00%",,1901,125,1461,090,065,221,388,"0,0%",1249,1657,"7,1%",071,1076,"50,3%","6,1%","3,3%","4,4%","5,0%","6,6%",191,032,072,204099000,16116000,125877000,33916000,17800000,105487000,147317000,9057000,6960000,31112000,1017000,2287000,,,,,,
JPSA3,ON,JEREISSATI PARTICIPACOES ON,Telefonia Fixa,Telefonia Fixa,2296,30/06/2020,1850,4070,9701680,2017930000,3702200000,31/03/2020,87889000,"-0,78%","2,04%","2,04%","-14,17%","-39,26%","68,60%","18,94%","175,59%","-6,43%","-31,30%",,1908,131,568,274,034,300,-104,"0,0%",757,1042,"3,4%",120,1748,"65,0%","48,2%","32,7%","5,9%","7,0%","6,9%",270,171,012,6023650000,935724000,1068660000,2619990000,1684260000,1536130000,737246000,355329000,105785000,155156000,60528000,-3397000,,,,,,
ELEK3,ON,ELEKEIROZ S/A ON,Químicos,Petroquímicos,1910,30/06/2020,1372,2550,5101,601364000,759140000,31/03/2020,31485000,"-8,44%","3,24%","3,24%","39,26%","5,05%","54,67%","98,68%","88,74%","-32,77%","-22,48%",,2444,266,5208,062,107,375,-11028,"2,3%",2613,6574,"5,7%",078,719,"11,4%","1,2%","2,5%","2,0%","2,5%","10,9%",194,099,172,563726000,65985000,331946000,223761000,157776000,226327000,971739000,11547000,24603000,229395000,-996000,-4767000,,,,,,
HYPE3,ON,HYPERA ON,Comércio,Produtos Diversos,3330,30/06/2020,2639,4114,131872000,21053500000,20823000000,31/03/2020,632238000,"-0,92%","4,11%","4,11%","15,19%","-5,25%","21,77%","-11,93%","47,73%","22,45%","33,98%",,1947,240,2605,565,174,669,1499,"4,2%",2242,2577,"6,8%",171,1390,"65,6%","21,7%","29,0%","6,7%","8,4%","12,3%",300,023,031,12103500000,2253590000,4719140000,2023030000,-230567000,8788730000,3726200000,808124000,1081070000,815032000,183290000,238209000,,,,,,
HAPV3,ON NM,HAPVIDA ON NM,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",6217,30/06/2020,3172,6911,140975000,46191400000,46374400000,31/03/2020,742986000,"-1,47%","13,32%","13,32%","58,56%","-2,51%","106,40%","8,71%","0,00%","0,00%","0,00%",,5709,622,4290,715,361,5612,-1765,"0,5%",3303,4307,"36,1%",109,999,"38,8%","16,7%","12,6%","8,4%","10,0%","10,9%",143,028,050,12798000000,1888930000,2754240000,2071870000,182935000,7424030000,6456170000,1076810000,809101000,2078790000,311241000,164429000,,,,,,
EKTR4,PN,ELEKTRO ELETRICIDADE E SERVIÇOS SA PN,Energia Elétrica,Energia Elétrica,2015,24/06/2020,1500,2647,833,3904240000,7621540000,31/03/2020,193759000,"0,00%","0,80%","0,80%","3,71%","-21,51%","40,26%","-14,92%","23,54%","-1,12%","69,33%",,740,139,371,058,047,550,-135,"2,0%",598,724,"8,5%",272,1449,"19,1%","15,8%","7,9%","12,5%","14,3%","18,8%",136,149,080,8390400000,475600000,2693500000,4192900000,3717300000,2807800000,6678620000,1052640000,527470000,1574800000,270800000,138700000,,,,,,
JOPA3,ON,JOSAPAR S/A ON,Alimentos,Alimentos Diversos,2400,26/06/2020,2300,3275,1699,253968000,781772000,31/03/2020,10582000,"0,00%","0,08%","0,08%","-0,04%","-11,11%","20,97%","-5,14%","8,73%","117,71%","9,96%",,1866,050,449,020,014,051,-3921,"0,0%",1076,1381,"2,9%",129,4758,"27,8%","4,5%","1,8%","3,1%","4,1%","2,7%",178,180,069,1816880000,380816000,1134070000,908620000,527804000,503533000,1244880000,56614000,13607000,276185000,16300000,4676000,,,,,,
BBDC3,ON N1,BANCO BRADESCO SA ON N1,Financeiros,Bancos,1896,30/06/2020,1422,3206,123825000,168179000000,-,31/03/2020,8870210000,"-3,07%","6,60%","6,60%","-34,28%","-38,49%","26,75%","19,28%","24,77%","63,01%","-25,05%",,835,130,-,-,-,-,-,"8,2%",-,-,"17,6%",227,1460,-,-,"0,0%","0,0%",-,"15,5%",-,-,-,1240260000000,,,,,129549000000,,,20144300000,,,3382090000,314973000000,426388000000,-2132500000,19648400000,-27376200000,5094410000
ITSA4,PN N1,ITAÚSA PN N1,Financeiros,Bancos,959,30/06/2020,751,1385,338285000,80659700000,81676700000,31/03/2020,8410810000,"-3,03%","8,48%","8,48%","-20,58%","-29,49%","27,40%","32,62%","37,62%","39,31%","-12,65%",,913,155,31143,1582,125,2053,-2744,"9,1%",8508,31535,"2,2%",105,618,"27,4%","5,1%","178,7%","0,4%","0,4%","17,0%",258,009,008,64343000000,3590000000,6413000000,4607000000,1017000000,51962000000,5099000000,259000000,8838000000,1162000000,106000000,1012000000,,,,,,
CMIG3,ON N1,CEMIG ON N1,Energia Elétrica,Energia Elétrica,1189,30/06/2020,774,1861,23745000,17344600000,30799700000,31/03/2020,1458750000,"1,19%","6,16%","6,16%","-35,52%","-23,73%","8,03%","137,44%","-16,85%","36,15%","-50,45%",,763,110,365,068,034,637,-072,"2,3%",538,648,"7,2%",156,1085,"22,0%","18,6%","8,9%","9,4%","10,3%","14,4%",135,100,051,50381500000,2307410000,10478700000,15762600000,13455200000,15828800000,25536300000,4756680000,2273210000,6059210000,1240610000,-57115000,,,,,,
HAGA3,ON,HAGA ON,Construção e Engenharia,Materiais de Construção,381,30/06/2020,299,630,142442,45339000,48066900,31/03/2020,11900000,"-3,54%","14,07%","14,07%","7,32%","-20,13%","67,37%","-43,00%","45,35%","43,93%","85,27%",,1678,-059,-2387,199,081,217,-052,"0,0%",-20954,-2531,"-5,6%",023,-647,"23,1%","-8,3%","11,9%","-3,4%","-10,0%","-3,5%",186,-050,041,55783300,35942200,45081000,38670000,2727880,-76960100,22773600,-1899040,2701860,4769320,-1116680,-1453560,,,,,,
DIRR3,ON NM,Direcional Engenharia ON NM,Construção e Engenharia,Construção Civil,1572,30/06/2020,718,1839,18146400,2411430000,2568260000,31/03/2020,153399000,"3,35%","64,26%","64,26%","45,96%","4,80%","116,76%","45,68%","24,02%","36,30%","-52,13%",,2676,191,1109,172,050,136,-216,"3,2%",1028,1181,"-1,0%",059,825,"34,4%","15,5%","8,0%","4,5%","5,5%","7,1%",424,075,029,4827820000,798028000,2318540000,954858000,156830000,1265650000,1400900000,217421000,90114000,291469000,38051000,10052000,,,,,,
LWSA3,ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,4320,30/06/2020,1020,4320,36314400,5407430000,5047790000,31/03/2020,125172000,"1,34%","64,89%","64,89%","109,71%","109,71%","0,00%","0,00%","0,00%","0,00%","0,00%",,37620,852,14383,1333,498,1136,1801,"0,0%",5441,13426,-,011,507,"41,3%","9,3%","3,5%","3,5%","7,3%","2,3%",273,031,037,1086100000,555102000,751929000,195460000,-359642000,634479000,405662000,37597000,14374000,104532000,984000,-2271000,,,,,,
MRVE3,ON NM,MRV ON NM,Construção e Engenharia,Construção Civil,1800,30/06/2020,1028,2235,81995600,8675170000,11786900000,31/03/2020,481954000,"1,01%","18,66%","18,66%","-4,15%","-16,47%","85,62%","6,12%","43,57%","29,81%","20,53%",,1432,163,1054,143,054,185,-332,"3,8%",1291,1432,"8,2%",126,1105,"29,5%","13,6%","11,2%","5,1%","5,6%","11,4%",249,077,037,16157300000,989238000,7850270000,4100980000,3111740000,5327560000,6055600000,823211000,605997000,1508470000,175278000,104405000,,,,,,
POSI3,ON NM,POSITIVO INF ON NM,Computadores e Equipamentos,Computadores e Equipamentos,520,30/06/2020,223,1139,28069400,737360000,1045710000,31/03/2020,141800000,"0,00%","29,00%","29,00%","101,44%","-48,60%","354,92%","-27,98%","12,28%","63,90%","-13,33%",,2978,084,974,038,031,118,192,"0,6%",855,1382,"2,1%",017,618,"23,5%","3,9%","1,5%","3,2%","5,1%","2,8%",149,088,081,2395480000,465865000,1894160000,774212000,308347000,876494000,1933800000,75681000,24761000,378566000,-11312000,3408000,,,,,,
RPAD5,PNA,ALFA HOLDINGS PNA,Financeiros,Bancos,802,30/06/2020,682,1004,3646,679150000,669584000,31/03/2020,84682000,"0,25%","-0,62%","-0,62%","7,07%","2,24%","53,85%","13,40%","26,34%","14,46%","9,43%",,1620,067,-16679,251537,066,-39167,-32543,"6,5%",-16444,-16444,"8,8%",050,1196,"94,8%","-1508,2%","15529,6%","-0,4%","-0,4%","4,1%",086,-,000,1026340000,9566000,11079000,0,-9566000,1013170000,270000,-4072000,41930000,71000,-1366000,11993000,,,,,,
EALT3,ON,ELECTRO AÇO ALTONA S/A ON,Máquinas e Equipamentos,Máqs e Equips Construção e Agrícolas,1426,30/06/2020,552,2549,62804,320850000,396577000,31/03/2020,22500000,"7,62%","58,44%","58,44%","191,59%","3,51%","253,54%","106,25%","1,59%","0,00%","2,72%",,2027,191,1545,118,078,-26451,-483,"383,5%",1270,1909,"23,7%",070,745,"22,3%","7,7%","5,8%","5,0%","5,9%","9,4%",099,072,066,413673000,44978000,179646000,120705000,75727000,167583000,270974000,20771000,15826000,59676000,1463000,4725000,,,,,,
EEEL4,PN N1,CEEE PN N1,,,42999,05/06/2020,29347,53562,8327,4162730000,4437070000,31/03/2020,9681000,"0,00%","0,00%","0,00%","46,52%","-6,48%","125,56%","114,79%","87,21%","7302,95%","-38,60%",,2088,179,1105,392,080,727,-241,"2,8%",1079,1178,"3,2%",2060,24061,"43,9%","35,5%","18,7%","7,3%","8,1%","8,6%",208,031,021,5174620000,456801000,1105080000,731138000,274337000,2329340000,1060970000,376693000,199394000,259796000,95829000,-97083000,,,,,,
NEOE3,ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,1912,30/06/2020,1475,2725,55946500,23207800000,44908800000,31/03/2020,1213800000,"0,37%","4,12%","4,12%","16,17%","-21,89%","48,72%","0,00%","0,00%","0,00%","0,00%",,1003,117,471,082,040,550,-101,"3,6%",698,911,"19,8%",191,1640,"23,3%","17,4%","8,5%","8,5%","9,6%","11,6%",139,132,049,58234000000,4518000000,14982000000,26219000000,21701000000,19909000000,28277400000,4928240000,2313850000,6920000000,1297000000,577000000,,,,,,
PTBL3,ON,PORTOBELLO S/A ON,Construção e Engenharia,Materiais de Construção,415,30/06/2020,175,660,6916370,657729000,1178020000,31/03/2020,158489000,"-3,49%","25,00%","25,00%","-0,93%","-21,59%","6,55%","-1,75%","175,81%","0,54%","-52,93%",,1281,177,2008,057,032,330,-092,"1,0%",1253,3597,"2,0%",032,234,"33,2%","2,8%","4,5%","1,6%","2,1%","13,8%",126,228,056,2039750000,324782000,956947000,845075000,520293000,371288000,1149220000,32749000,51340000,274180000,9805000,21003000,,,,,,
PARD3,ON NM,IHPARDINI ON NM,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",2202,30/06/2020,1484,3237,9504450,2884160000,2998230000,31/03/2020,130979000,"-4,76%","18,96%","18,96%","15,22%","-18,72%","48,42%","-43,15%","71,69%","0,00%","0,00%",,1990,407,1382,217,174,1822,-670,"1,1%",998,1437,"11,3%",111,541,"29,3%","15,7%","10,9%","12,6%","14,9%","20,5%",145,033,080,1653670000,118713000,514004000,232784000,114071000,708174000,1326380000,208702000,144945000,308337000,27961000,15753000,,,,,,
BRAP3,ON N1,BRADESPAR S/A ON N1,Holdings Diversificadas,Holdings Diversificadas,3334,30/06/2020,2250,3965,724613,11603500000,11629200000,31/03/2020,348034000,"2,62%","5,31%","5,31%","17,78%","-5,74%","27,12%","22,98%","107,39%","186,09%","-55,30%",,205735,110,-66435,-,105,-,-,"2,2%",-66582,-66582,-,002,3023,-,-,"0,0%","-0,2%",-,"0,1%",-,-,-,11031700000,199618000,553142000,225395000,25777000,10522400000,0,-17466000,5640000,0,-2992000,53756000,,,,,,
CEPE5,PNA,CELPE PNA,Energia Elétrica,Energia Elétrica,2700,26/06/2020,1815,2705,5517,2014520000,7002520000,31/03/2020,74612000,"0,00%","0,00%","0,00%","57,35%","6,03%","53,66%","20,94%","-11,17%","-23,17%","92,67%",,208690,121,9637,-2474,022,-1311,-045,"2,3%",27726,33498,"8,6%",001,2234,"-27,1%","-25,7%","-1,2%","0,2%","0,3%","0,1%",095,336,-001,8955800000,620100000,2829100000,5608100000,4988000000,1667000000,-81428500,20904500,965320,1553200000,184100000,38800000,,,,,,
FRAS3,ON,FRAS-LE SA ON,Material de Transporte,Material Rodoviário,538,30/06/2020,330,734,705944,1170510000,1414230000,31/03/2020,217566000,"-1,65%","19,29%","19,29%","14,71%","-5,61%","31,03%","-10,49%","31,71%","16,77%","3,61%",,2726,143,977,085,070,273,-1068,"2,0%",728,1181,"14,5%",020,375,"26,2%","8,7%","2,5%","7,2%","8,4%","5,3%",246,047,083,1662550000,144029000,723852000,387753000,243724000,816810000,1384590000,119788000,42940000,341810000,26587000,3869000,,,,,,
BEES4,PN,BANESTES S/A PN,Financeiros,Bancos,625,30/06/2020,469,827,39572,1974460000,-,31/03/2020,315913000,"2,29%","16,39%","16,39%","14,83%","-4,85%","66,75%","16,67%","57,47%","61,32%","-2,84%",,848,127,-,-,-,-,-,"4,9%",-,-,"10,1%",074,492,-,-,"0,0%","0,0%",-,"15,0%",-,-,-,27052000000,,,,,1555660000,,,232885000,,,82513000,3863540000,13115000000,772852000,349742000,246600000,84357000
RPAD3,ON,ALFA HOLDINGS ON,Financeiros,Bancos,546,30/06/2020,400,831,11171,462364000,452798000,31/03/2020,84682000,"0,00%","2,82%","2,82%","6,64%","-10,64%","153,53%","4,78%","-12,88%","14,78%","12,20%",,1103,046,-11355,171246,045,-26665,-22155,"0,0%",-11120,-11120,"8,8%",050,1196,"94,8%","-1508,2%","15529,6%","-0,4%","-0,4%","4,1%",086,-,000,1026340000,9566000,11079000,0,-9566000,1013170000,270000,-4072000,41930000,71000,-1366000,11993000,,,,,,
MGLU3,ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,7165,30/06/2020,2622,7165,890631000,116412000000,114646000000,31/03/2020,1624730000,"1,76%","11,34%","11,34%","172,08%","50,30%","112,19%","126,39%","509,21%","503,78%","-69,67%",,14188,1546,15402,560,657,2489,28543,"0,1%",8727,15169,"24,1%",051,463,"27,7%","3,6%","3,9%","4,3%","6,9%","10,9%",179,011,117,17710100000,2620170000,10589900000,853849000,-1766320000,7528060000,20792100000,755803000,820527000,5234750000,112744000,30803000,,,,,,
CNTO3,ON NM,CENTAURO ON NM,Comércio,"Tecidos, Vestuário e Calçados",3271,30/06/2020,1380,5093,78632000,7883600000,7592120000,31/03/2020,241015000,"-2,94%","11,79%","11,79%","128,74%","-7,02%","186,02%","0,00%","0,00%","0,00%","0,00%",,2445,667,21827,312,211,3808,-532,"0,0%",2984,21020,-,134,490,"49,2%","1,4%","12,8%","1,0%","1,2%","27,3%",124,001,067,3742920000,308127000,1076920000,16644000,-291483000,1181790000,2523860000,36118900,322427000,505615000,-10488000,8122000,,,,,,
CEEB3,ON,COELBA ON,Energia Elétrica,Energia Elétrica,4200,30/06/2020,3191,4400,4791,11008000000,18985800000,31/03/2020,262096000,"6,33%","5,53%","5,53%","30,41%","6,22%","71,09%","13,13%","7,61%","-6,03%","5,70%",,1046,200,601,108,054,974,-112,"2,6%",808,1037,"10,2%",402,2100,"23,5%","18,0%","10,3%","9,0%","9,8%","19,1%",128,164,050,20449500000,1025300000,5157600000,9003100000,7977800000,5504100000,10188300000,1830930000,1052850000,2520900000,494900000,273900000,,,,,,
CEBR5,PNA,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA,Energia Elétrica,Energia Elétrica,7720,05/06/2020,4000,8200,2516,1112920000,1184020000,31/03/2020,14416000,"0,00%","7,22%","7,22%","92,52%","18,40%","101,92%","37,52%","-3,14%","33,19%","7,18%",,1050,140,669,040,031,820,-119,"0,0%",527,711,"5,5%",735,5510,"14,9%","6,0%","5,0%","4,7%","5,6%","13,3%",109,058,078,3555050000,388588000,1601660000,459688000,71100000,794301000,2764100000,166442000,105998000,659872000,14071000,-10296000,,,,,,
QUAL3,ON NM,QUALICORP ON NM,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",2900,30/06/2020,1930,4499,102615000,8236410000,8937820000,31/03/2020,284014000,"2,51%","22,26%","22,26%","44,93%","-21,83%","242,88%","-56,89%","69,25%","51,48%","-41,13%",,2249,547,1068,404,236,1421,-932,"14,3%",775,1159,"2,2%",129,530,"81,4%","37,8%","18,0%","22,1%","29,5%","24,3%",212,087,059,3484520000,608647000,1094750000,1310060000,701417000,1505810000,2038920000,771019000,366251000,502550000,167974000,70383000,,,,,,
SBSP3,ON NM,SABESP ON NM,Água e Saneamento,Água e Saneamento,5770,30/06/2020,2970,6463,243911000,39438500000,51665500000,31/03/2020,683510000,"0,87%","6,22%","6,22%","25,55%","-2,01%","96,30%","-5,95%","23,08%","53,43%","14,58%",,1912,188,705,217,084,-2201,-189,"2,4%",694,924,"9,3%",302,3069,"43,7%","30,8%","11,4%","11,9%","12,6%","9,8%",074,069,039,46967700000,2323370000,5158500000,14550400000,12227000000,20977800000,18147500000,5591300000,2062280000,4042350000,996700000,-657946000,,,,,,
SANB11,UNT,SANTANDER UNT,Financeiros,Bancos,2802,30/06/2020,2296,4846,113745000,105054000000,-,31/03/2020,7498530000,"-3,55%","9,88%","9,88%","-34,57%","-40,53%","20,66%","40,64%","13,67%","94,62%","33,50%",,726,145,-,-,-,-,-,"10,2%",-,-,"1,2%",386,1929,-,-,"0,0%","0,0%",-,"20,0%",-,-,-,1001790000000,,,,,72331100000,,,14478500000,,,3788540000,220848000000,307231000000,12685600000,14594500000,-5721650000,3482280000
WIZS3,ON NM,WIZ SA ON NM,Previdência e Seguros,Corretoras de Seguros,1061,30/06/2020,695,1491,10509900,1696610000,1591420000,31/03/2020,159907000,"-3,98%","12,63%","12,63%","6,23%","-17,77%","130,34%","-37,19%","-10,54%","49,66%","-29,09%",,806,717,434,243,259,-1991,-814,"6,3%",372,408,"17,3%",132,148,"72,1%","56,0%","31,3%","59,5%","77,5%","88,9%",070,000,106,655908000,105328000,199027000,134000,-105194000,236607000,697232000,390524000,210384000,169666000,91121000,49549000,,,,,,
BRGE8,PND,CONSORCIO ALFA PND,Financeiros,Bancos,720,30/06/2020,452,1220,1902,530251000,-41417800,31/03/2020,73646000,"0,00%","16,13%","16,13%","59,51%","-32,86%","190,24%","45,21%","-9,37%","5,49%","0,00%",,1055,044,-118,1812,017,-186,-147,"4,0%",009,009,"-0,6%",068,1644,"-233,1%","-1532,3%","268,5%","-14,4%","-17,7%","4,1%",077,-,001,3111670000,571669000,954709000,0,-571669000,1210980000,29269000,-448475000,50240000,7068000,-118370000,13403000,,,,,,
SAPR11,UNT N2,SANEPAR UNT N2,Água e Saneamento,Água e Saneamento,3151,30/06/2020,1986,3720,63969700,9523620000,12184400000,31/03/2020,1511210000,"1,03%","14,71%","14,71%","21,09%","-5,56%","74,11%","8,29%","-0,96%","0,00%","0,00%",,851,148,477,196,076,2444,-213,"3,3%",521,610,"11,2%",370,2127,"61,2%","41,0%","23,0%","15,9%","17,2%","17,4%",130,054,039,12565700000,789641000,1668790000,3450420000,2660780000,6429940000,4870380000,1998640000,1118510000,1246140000,531667000,256025000,,,,,,
WEGE3,ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros",5061,30/06/2020,2132,5061,222014000,106213000000,105777000000,31/03/2020,2098660000,"1,38%","21,07%","21,07%","140,03%","46,73%","100,56%","-3,84%","58,22%","6,26%","-3,08%",,6077,1102,4586,752,611,1880,3412,"0,8%",3891,4567,"10,4%",083,459,"29,7%","16,4%","12,6%","13,3%","17,3%","18,1%",214,026,081,17371300000,2899190000,10600700000,2463430000,-435764000,9642110000,14129500000,2316110000,1747760000,3714440000,592755000,440023000,,,,,,
RPAD6,PNB,ALFA HOLDINGS PNB,Financeiros,Bancos,675,29/06/2020,360,1000,4365,571604000,562038000,31/03/2020,84682000,"0,00%","9,93%","9,93%","58,82%","-24,07%","160,70%","26,30%","4,25%","52,35%","-6,59%",,1363,056,-14037,211705,056,-32964,-27389,"0,0%",-13803,-13803,"8,8%",050,1196,"94,8%","-1508,2%","15529,6%","-0,4%","-0,4%","4,1%",086,-,000,1026340000,9566000,11079000,0,-9566000,1013170000,270000,-4072000,41930000,71000,-1366000,11993000,,,,,,
SAPR4,PN,SANEPAR PN,Água e Saneamento,Água e Saneamento,628,30/06/2020,398,735,15984500,9490370000,12151100000,31/03/2020,1511210000,"0,80%","18,05%","18,05%","32,54%","-9,46%","109,55%","-3,18%","14,68%","260,96%","-37,41%",,848,148,475,195,076,2435,-212,"3,3%",519,608,"11,2%",074,425,"61,2%","41,0%","23,0%","15,9%","17,2%","17,4%",130,054,039,12565700000,789641000,1668790000,3450420000,2660780000,6429940000,4870380000,1998640000,1118510000,1246140000,531667000,256025000,,,,,,
LREN3,ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados",4180,30/06/2020,2994,6064,408780000,33255700000,34023900000,31/03/2020,795590000,"1,46%","8,59%","8,59%","-10,81%","-25,32%","47,50%","20,89%","70,91%","38,28%","13,91%",,3508,709,1394,348,283,1852,-7305,"0,8%",1086,1427,"12,0%",119,589,"61,5%","24,9%","9,9%","20,3%","26,1%","20,2%",137,054,081,11742100000,1743640000,6598660000,2511840000,768195000,4688160000,9560080000,2385010000,947914000,1863760000,314902000,10419000,,,,,,
UNIP5,PNA,UNIPAR PARTICIPAÇÕES SA PNA,Químicos,Petroquímicos,2860,30/06/2020,1900,4052,29001,2797590000,3080270000,31/03/2020,97818000,"-1,41%","7,52%","7,52%","-18,90%","-18,33%","12,84%","169,32%","213,79%","55,15%","1,67%",,11189,202,910,091,071,827,-232,"2,5%",623,1002,"40,1%",026,1413,"26,1%","10,0%","0,7%","7,8%","9,4%","1,8%",134,055,078,3931390000,478759000,1334060000,761432000,282673000,1382490000,3078810000,307365000,25003000,801680000,47275000,-92219000,,,,,,
LUXM4,PN,TREVISA INVESTIMENTOS SA PN,Transporte,Transporte Hidroviário,3399,30/06/2020,1517,3400,10716,176612000,201490000,31/03/2020,5196000,"0,00%","6,22%","6,22%","129,20%","30,73%","57,00%","55,20%","0,00%","0,00%","36,45%",,1344,171,1195,150,100,679,-837,"4,1%",636,1363,"11,3%",253,1987,"26,6%","12,6%","11,2%","8,4%","8,8%","12,7%",201,029,067,176083000,5209000,51718000,30087000,24878000,103254000,117592000,14785000,13145000,25360000,2198000,1923000,,,,,,
YDUQ3,ON,YDUQS PART ON,Diversos,Educacional,3365,30/06/2020,2024,5556,127098000,10400800000,11349900000,31/03/2020,309089000,"-1,69%","18,15%","18,15%","18,22%","-27,83%","103,69%","-22,47%","111,53%","27,99%","-35,67%",,1814,318,1240,293,136,442,-1011,"1,5%",946,1353,"4,6%",185,1060,"57,5%","23,6%","16,1%","11,0%","17,1%","17,5%",341,107,047,7635800000,2545560000,3332010000,3494640000,949084000,3275420000,3555680000,838910000,573231000,923269000,240535000,167888000,,,,,,
ENGI11,UNT N2,ENERGISA UNT N2,Energia Elétrica,Energia Elétrica,4900,30/06/2020,3535,6000,84106100,17782700000,33064800000,31/03/2020,1814560000,"0,55%","3,16%","3,16%","7,57%","-7,92%","48,00%","39,76%","50,55%","36,10%","32,95%",,1944,284,754,089,043,958,-076,"1,2%",940,1402,"14,5%",252,1727,"16,2%","11,8%","4,9%","5,7%","6,6%","14,6%",120,304,048,41501900000,3796650000,11202100000,19078700000,15282100000,6268050000,19921400000,2359070000,914874000,4782310000,598046000,573023000,,,,,,
EQPA6,PNB,EQTL PARA PNB,Energia Elétrica,Energia Elétrica,1068,20/05/2020,507,2058,134,23592900000,25673900000,31/03/2020,2209070000,"0,00%","0,00%","0,00%","110,65%","6,80%","-32,07%","0,00%","0,00%","0,00%","0,00%",,4475,690,1935,421,210,1086,-574,"0,7%",1671,2105,"8,1%",024,155,"28,7%","21,8%","9,4%","10,9%","13,6%","15,4%",242,110,050,11232100000,1685910000,3701660000,3766850000,2080940000,3418100000,5597620000,1219430000,527189000,1284390000,286757000,109222000,,,,,,
WSON33,DR3,Wilson Sons DR3,Transporte,Serviços de Apoio e Armazenagem,3559,30/06/2020,2619,4794,1748530,2534720000,4528710000,31/03/2020,71220000,"6,33%","20,64%","20,64%","6,00%","-17,17%","18,46%","5,12%","24,90%","7,46%","12,13%",,4373,111,396,156,047,815,-115,"3,2%",707,707,"0,1%",081,3216,"44,1%","39,3%","3,9%","11,9%","13,8%","2,5%",155,109,030,5378230000,503255000,881465000,2497240000,1993990000,2290150000,1629770000,640522000,57966000,406389000,164300000,-35805000,,,,,,
SAPR3,ON,SANEPAR ON,Água e Saneamento,Água e Saneamento,661,30/06/2020,407,800,1501320,9989070000,12649800000,31/03/2020,1511210000,"1,23%","13,57%","13,57%","-4,36%","15,59%","7,74%","42,29%","118,69%","65,81%","-47,74%",,893,155,500,205,079,2563,-224,"2,9%",540,633,"11,2%",074,425,"61,2%","41,0%","23,0%","15,9%","17,2%","17,4%",130,054,039,12565700000,789641000,1668790000,3450420000,2660780000,6429940000,4870380000,1998640000,1118510000,1246140000,531667000,256025000,,,,,,
EMAE4,PN,EMAE PN,Energia Elétrica,Energia Elétrica,3100,30/06/2020,2000,3914,161304,1145360000,807993000,31/03/2020,36947000,"0,00%","6,93%","6,93%","45,64%","-14,89%","106,24%","124,20%","11,48%","108,96%","13,07%",,1403,115,4802,261,075,232,1473,"1254,2%",2717,3388,"23,3%",221,2707,"16,3%","5,4%","18,6%","1,6%","2,1%","8,2%",514,007,029,1535360000,408832000,613140000,71468000,-337364000,999982000,438175000,23850000,81623000,105919000,-7025000,9757000,,,,,,
